iter	Passed	Remaining
0	2	2004
1	3	1852
2	5	1829
3	7	1852
4	9	1844
5	10	1793
6	12	1761
7	14	1740
8	15	1729
9	17	1728
10	19	1710
11	20	1697
12	22	1690
13	24	1694
14	25	1684
15	27	1683
16	28	1676
17	30	1659
18	31	1652
19	33	1647
20	35	1643
21	36	1636
22	38	1632
23	40	1631
24	41	1636
25	43	1638
26	45	1634
27	47	1639
28	49	1643
29	50	1639
30	52	1638
31	54	1639
32	55	1635
33	57	1633
34	59	1628
35	60	1626
36	62	1627
37	64	1630
38	65	1623
39	67	1610
40	68	1608
41	70	1607
42	72	1603
43	73	1597
44	75	1592
45	76	1585
46	78	1581
47	79	1579
48	81	1575
49	82	1570
50	84	1566
51	85	1561
52	87	1558
53	88	1552
54	90	1550
55	91	1546
56	93	1542
57	94	1541
58	96	1539
59	98	1535
60	99	1533
61	101	1531
62	102	1528
63	104	1525
64	105	1523
65	107	1520
66	108	1517
67	110	1515
68	112	1515
69	113	1514
70	115	1511
71	117	1509
72	118	1506
73	120	1503
74	121	1500
75	123	1495
76	124	1491
77	126	1490
78	127	1486
79	128	1483
80	130	1479
81	131	1476
82	133	1474
83	134	1468
84	136	1466
85	137	1462
86	139	1460
87	140	1457
88	142	1455
89	143	1452
90	145	1449
91	146	1447
92	148	1443
93	149	1441
94	150	1438
95	152	1436
96	153	1433
97	155	1431
98	157	1429
99	158	1427
100	160	1424
101	161	1422
102	162	1419
103	164	1416
104	165	1414
105	167	1411
106	168	1408
107	169	1401
108	171	1398
109	172	1396
110	174	1394
111	175	1391
112	177	1390
113	178	1388
114	180	1386
115	181	1385
116	183	1383
117	184	1382
118	186	1379
119	187	1377
120	189	1375
121	190	1373
122	192	1371
123	194	1373
124	196	1372
125	197	1370
126	199	1368
127	200	1364
128	201	1362
129	203	1360
130	204	1358
131	206	1357
132	207	1355
133	209	1353
134	211	1353
135	212	1352
136	214	1349
137	215	1347
138	217	1345
139	218	1343
140	220	1341
141	221	1339
142	223	1337
143	224	1335
144	226	1333
